"TPREG,C,1","ENTIDAD,C,2","MUNICIPIO,C,3","LOCALIDAD,C,4","AGEB,C,4","NUMCONTROL,C,6","VIVSEL,C,2","IDHOGAR,C,1","DEGVIV,C,1","JUEZ,C,2","MEDICO,C,2","ABOGADO,C,2","INVESTIGA,C,2","HOMBRENG,C,2","PERIODI,C,2","BANQUERO,C,2","INGENIE,C,2","ARQUITE,C,2","PROFESOR,C,2","DEPORT,C,2","ARTISTA,C,2","PEREVYPER,C,1","PETVYRAD,C,1","PALITICOS,C,1","INC,C,1","CIENTRAUNI,C,1","CIENTRACEN,C,1","ASOCPAM,C,1","EMPRESA,C,1","MILITARES,C,1","LIDREL,C,1","GOBIERNO,C,1","MADICOS,C,1","ESCEINV,C,1","BIOLOGIA,C,1","ASTRONOM,C,1","HISTORIA,C,1","FISICA,C,1","HOMEOPA,C,1","HOROSCOPOS,C,1","ECONOMIA,C,1","MEDICINA,C,1","PSICOLOGIA,C,1","MATEMA,C,1","PARAPSI,C,1","CIIMANEG,C,1","CLMCNOAT,C,1","TECIDIFI,C,1","EXPLYSNOAT,C,1","POCOINTJOV,C,1","OTRA,C,1","NINGUNA,C,1","NOSABE,C,1","ESPE_C166,C,50","LLAVE,C,23","NUMREN,C,2"
7,29,033,0001,0476,290283,02,1,1,06,09,06,08,08,06,07,09,06,01,08,09,3,3,3,2,1,2,2,2,1,1,3,1,2,2,1,3,1,2,4,4,1,2,1,4,0,0,1,2,3,0,0,0,,29033000104762902830211,02
7,29,033,0001,0476,290283,05,1,1,08,09,10,07,06,03,02,01,04,10,08,06,2,2,3,2,2,2,2,2,3,3,2,2,1,2,2,2,2,3,3,2,2,2,1,3,0,0,1,2,3,0,0,0,,29033000104762902830511,01
7,29,033,0001,0508,290242,01,1,1,05,08,08,09,08,08,08,08,09,07,09,09,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,3,1,2,4,3,2,2,1,3,0,2,0,3,1,0,0,0,,29033000105082902420111,03
7,29,033,0001,0508,290242,02,1,1,06,08,05,09,09,09,08,08,09,10,09,09,2,1,2,2,1,1,1,2,2,3,3,2,2,2,1,1,2,2,4,4,1,1,1,1,1,2,0,3,0,0,0,0,,29033000105082902420211,03
7,29,033,0001,0508,290242,03,1,1,08,10,08,09,07,08,08,09,08,08,09,07,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,1,2,1,3,0,1,0,2,3,0,0,0,,29033000105082902420311,02
7,29,033,0001,0508,290242,04,1,1,01,01,01,10,05,10,02,06,06,04,10,01,2,3,3,2,1,1,3,3,2,3,3,2,2,2,3,3,2,4,4,4,2,4,4,2,0,3,0,2,1,0,0,0,,29033000105082902420411,01
7,29,033,0001,0508,290242,05,1,1,05,08,03,09,09,09,08,09,09,07,07,06,2,2,3,2,1,1,1,2,2,3,3,2,1,1,1,4,1,4,4,4,1,4,1,4,0,3,0,2,1,0,0,0,,29033000105082902420511,02
7,29,033,0001,0531,290062,02,1,1,09,10,08,10,10,09,09,10,10,08,10,07,2,2,2,2,2,2,1,2,1,3,2,1,1,2,2,4,2,2,4,4,2,2,2,2,1,0,0,2,3,0,0,0,,29033000105312900620211,02
7,29,033,0001,0531,290062,03,1,1,05,08,05,08,07,06,06,07,07,07,08,07,3,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,3,4,4,2,2,2,2,0,0,1,3,2,0,0,0,,29033000105312900620311,02
7,29,033,0001,0531,290062,04,1,1,08,08,10,06,05,08,05,06,06,08,08,05,2,2,3,3,3,3,3,3,2,3,3,2,3,2,4,4,4,4,4,4,2,4,2,2,3,0,0,1,2,0,0,0,,29033000105312900620411,01
