"CD,C,2","PER,C,4","AGEB,C,4","ENT,C,2","CON,C,4","PRO_VIV,C,4","V_SEL,C,1","N_HOG,C,1","RFC_E,C,10","RFC_S,C,10","R_PRE,C,2","FCH_PRE,C,10","R_DEF,C,2","FCH_DEF,C,10","P1,C,2","P2,C,1","P3,C,2","R_INF,C,2","R_ELE,C,2","FAC,N,6,0"
21,0811,3605,02,0189,0106,1,1,-,-,01,09/08/2011,01,12/08/2011,04,1,,01,01,4265
21,0811,3605,02,0189,0231,3,1,-,-,01,09/08/2011,01,12/08/2011,02,1,,02,02,4265
21,0811,3605,02,0189,0326,5,1,-,-,01,09/08/2011,01,12/08/2011,05,1,,02,04,4265
21,0811,639A,02,0230,0035,1,1,-,-,01,08/08/2011,01,09/08/2011,06,1,,02,01,5296
21,0811,639A,02,0230,0118,3,1,-,-,01,05/08/2011,01,09/08/2011,02,1,,01,01,5296
21,0811,0530,02,0239,0058,2,1,-,-,01,11/08/2011,01,12/08/2011,02,1,,02,02,5358
21,0811,322A,02,0301,0021,1,1,-,-,01,09/08/2011,01,12/08/2011,01,,,01,01,5095
21,0811,322A,02,0301,0103,4,1,-,-,01,09/08/2011,01,15/08/2011,02,1,,01,01,5095
21,0811,1878,02,0306,0163,1,1,-,-,01,10/08/2011,01,15/08/2011,02,1,,02,02,7975
21,0811,1878,02,0306,0240,2,1,-,-,01,12/08/2011,01,15/08/2011,02,1,,01,01,7975
21,0811,1878,02,0306,0318,4,1,-,-,01,04/08/2011,01,15/08/2011,04,1,,01,04,7975
21,0811,1878,02,0306,0348,5,1,-,-,01,03/08/2011,01,15/08/2011,06,1,,01,01,7975
21,0811,5245,02,0364,0014,1,1,-,-,01,08/08/2011,01,09/08/2011,05,1,,01,02,5962
21,0811,5245,02,0364,0091,3,1,-,-,01,08/08/2011,01,09/08/2011,04,1,,01,01,5962
21,0811,5245,02,0364,0120,4,1,-,-,01,08/08/2011,01,15/08/2011,04,1,,02,03,5962
21,0811,4463,02,0016,0105,4,1,-,-,01,05/08/2011,01,20/08/2011,06,1,,04,04,5147
21,0811,3272,02,0019,0135,5,1,-,-,01,16/08/2011,01,20/08/2011,02,1,,01,01,5260
21,0811,6652,02,0035,0241,3,1,-,-,01,16/08/2011,01,18/08/2011,04,1,,01,03,6715
21,0811,3605,02,0043,0082,3,1,-,-,01,09/08/2011,01,23/08/2011,06,1,,04,01,5287
21,0811,3516,02,0100,0133,5,1,-,-,01,16/08/2011,01,20/08/2011,02,1,,01,02,5802
21,0811,1685,02,0121,0139,5,1,-,-,01,14/08/2011,01,20/08/2011,07,1,,03,01,4112
21,0811,0511,02,0127,0161,4,1,-,-,01,03/08/2011,01,20/08/2011,04,1,,02,01,4662
21,0811,0511,02,0127,0184,5,1,-,-,01,20/08/2011,01,20/08/2011,04,1,,02,02,4662
21,0811,3605,02,0189,0168,2,1,-,-,01,15/08/2011,01,16/08/2011,05,1,,01,02,4265
21,0811,0530,02,0239,0091,3,1,-,-,01,17/08/2011,01,20/08/2011,03,1,,01,01,5358
21,0811,0530,02,0239,0131,4,1,-,-,01,10/08/2011,01,20/08/2011,04,1,,02,01,5358
21,0811,322A,02,0301,0112,5,1,-,-,01,10/08/2011,01,20/08/2011,02,1,,02,02,5095
21,0811,4463,02,0016,0076,3,1,-,-,06,30/08/2011,07,30/08/2011,,,,,,0
21,0811,4463,02,0016,0137,5,1,-,-,07,25/08/2011,07,25/08/2011,,,,,,0
21,0811,3041,02,0021,0074,3,1,-,-,07,25/08/2011,07,25/08/2011,,,,,,0
21,0811,1346,02,0169,0029,1,1,-,-,05,25/08/2011,07,25/08/2011,,,,,,0
21,0811,1346,02,0169,0161,5,1,-,-,06,25/08/2011,06,25/08/2011,,,,,,0
21,0811,3605,02,0189,0293,4,1,-,-,07,25/08/2011,07,25/08/2011,,,,,,0
21,0811,5315,02,0216,0095,4,1,-,-,06,25/08/2011,06,25/08/2011,,,,,,0
21,0811,6402,02,0230,0184,5,1,-,-,07,29/08/2011,07,29/08/2011,,,,,,0
21,0811,0530,02,0239,0011,1,1,-,-,07,29/08/2011,07,29/08/2011,,,,,,0
21,0811,4637,02,0288,0066,2,1,-,-,07,29/08/2011,07,29/08/2011,,,,,,0
21,0811,3357,02,0340,0008,1,1,-,-,05,25/08/2011,07,25/08/2011,,,,,,0
21,0811,5245,02,0364,0149,5,1,-,-,07,29/08/2011,07,29/08/2011,,,,,,0
21,0811,6652,02,0035,0132,2,1,-,-,01,23/08/2011,01,24/08/2011,01,,,01,01,6715
21,0811,1685,02,0121,0056,2,1,-,-,01,14/08/2011,01,29/08/2011,02,1,,02,01,4112
21,0811,1685,02,0121,0084,3,1,-,-,01,25/08/2011,01,26/08/2011,01,,,01,01,4112
21,0811,3395,02,0143,0021,1,1,-,-,01,07/08/2011,01,24/08/2011,02,1,,01,01,6994
21,0811,6402,02,0230,0081,2,1,-,-,01,08/08/2011,01,24/08/2011,04,1,,02,03,5296
21,0811,0530,02,0239,0170,5,1,-,-,01,25/08/2011,01,25/08/2011,01,,,01,01,5358
21,0811,322A,02,0301,0094,3,1,-,-,01,10/08/2011,01,29/08/2011,01,,,01,01,5095
21,0811,3357,02,0340,0053,4,1,-,-,01,25/08/2011,01,26/08/2011,01,,,01,01,4313
21,0811,5245,02,0364,0060,2,1,-,-,01,11/08/2011,01,28/08/2011,04,1,,02,02,5962
21,0811,3516,02,0100,0120,4,1,-,-,01,09/08/2011,01,09/08/2011,02,1,,01,01,5802
21,0811,5315,02,0216,0087,3,1,-,-,01,04/08/2011,01,19/08/2011,05,1,,02,01,5863
40,0811,213A,03,0054,0007,1,1,-,-,01,04/08/2011,01,08/01/2012,02,1,,01,01,3813
40,0811,213A,03,0054,0047,2,1,-,-,01,02/08/2011,01,08/01/2012,04,1,,01,01,3813
40,0811,213A,03,0054,0097,4,1,-,-,01,03/08/2011,01,08/01/2012,04,1,,04,01,3813
40,0811,1964,03,0130,0035,2,1,-,-,01,05/08/2011,01,08/01/2012,07,2,02,01,02,4486
40,0811,1964,03,0130,0055,3,1,-,-,01,01/08/2011,01,08/01/2012,04,1,,02,02,4486
40,0811,2144,03,0139,0029,1,1,-,-,01,03/08/2011,01,08/01/2012,03,1,,01,01,4509
40,0811,2144,03,0139,0050,2,1,-,-,01,04/08/2011,01,08/01/2012,03,1,,02,02,4509
40,0811,2036,03,0226,0026,1,1,-,-,01,01/08/2011,01,08/01/2012,05,1,,01,02,7467
40,0811,2036,03,0226,0117,4,1,-,-,01,05/08/2011,01,08/01/2012,04,1,,02,02,7467
40,0811,2021,03,0238,0050,3,1,-,-,01,02/08/2011,01,08/01/2012,02,1,,02,02,5236
40,0811,2248,03,0250,0076,3,1,-,-,01,08/08/2011,01,08/01/2012,03,1,,01,01,5370
40,0811,2248,03,0250,0123,4,1,-,-,06,05/08/2011,01,11/08/2011,01,1,,01,01,5370
40,0811,3119,03,0002,0003,1,1,-,-,01,11/08/2011,01,12/01/2012,03,1,,01,02,4979
40,0811,3119,03,0002,0041,3,1,-,-,01,11/08/2011,01,12/01/2012,05,1,,01,01,4979
40,0811,3180,03,0015,0014,1,1,-,-,01,10/08/2011,01,12/01/2012,04,1,,02,01,5779
40,0811,3180,03,0015,0072,3,1,-,-,01,08/08/2011,01,10/01/2012,04,1,,02,04,5779
40,0811,3180,03,0015,0102,4,1,-,-,01,08/08/2011,01,10/01/2012,04,1,,02,01,5779
40,0811,3180,03,0015,0129,5,1,-,-,01,10/08/2011,01,12/01/2012,04,1,,02,02,5779
40,0811,3477,03,0052,0027,1,1,-,-,01,10/08/2011,01,15/01/2012,03,1,,02,01,1903
40,0811,3477,03,0052,0060,2,1,-,-,01,11/08/2011,01,12/01/2012,05,1,,02,02,1903
40,0811,3477,03,0052,0104,3,1,-,-,01,10/08/2011,01,10/01/2012,04,1,,02,01,1903
40,0811,3477,03,0052,0138,4,1,-,-,01,10/08/2011,01,10/01/2012,01,,,01,01,1903
40,0811,3477,03,0052,0155,5,1,-,-,01,12/08/2011,01,15/01/2012,03,1,,03,01,1903
40,0811,3439,03,0055,0010,1,1,-,-,01,09/08/2011,01,10/01/2012,02,1,,02,02,6681
40,0811,3439,03,0055,0039,2,1,-,-,01,09/08/2011,01,12/01/2012,03,1,,01,01,6681
40,0811,3119,03,0002,0059,4,1,-,-,01,17/08/2011,01,22/01/2012,03,1,,02,02,4979
40,0811,3119,03,0002,0079,5,1,-,-,01,19/08/2011,01,22/01/2012,04,1,,03,03,4979
40,0811,3439,03,0055,0077,4,1,-,-,01,09/08/2011,01,10/01/2012,01,,,01,01,6681
40,0811,3439,03,0055,0098,5,1,-,-,01,11/08/2011,01,12/01/2012,03,1,,02,02,6681
40,0811,327A,03,0056,0044,2,1,-,-,01,11/08/2011,01,12/01/2012,04,1,,01,04,5438
40,0811,327A,03,0056,0065,3,1,-,-,01,15/08/2011,01,22/01/2012,03,1,,02,01,5438
40,0811,327A,03,0056,0096,4,1,-,-,01,15/08/2011,01,22/01/2012,04,1,,01,01,5438
40,0811,327A,03,0056,0242,5,1,-,-,01,12/08/2011,01,15/01/2012,05,1,,02,02,5438
40,0811,2233,03,0080,0044,1,1,-,-,01,18/08/2011,01,22/01/2012,05,1,,02,03,9336
40,0811,2233,03,0080,0084,2,1,-,-,01,22/08/2011,01,22/01/2012,01,,,01,01,9336
40,0811,2233,03,0080,0181,4,1,-,-,01,18/08/2011,01,22/01/2012,07,1,,01,02,9336
40,0811,2233,03,0080,0214,5,1,-,-,01,18/08/2011,01,22/01/2012,04,1,,03,02,9336
40,0811,3176,03,0090,0011,1,1,-,-,01,08/08/2011,01,10/01/2012,02,1,,01,02,4125
